Toy #,Col.#,Model Name,Series,Series#,Year,Version
DVD07,N/A,So Plowed,HW Snow Stormers,5-Apr,2017,Treasure Hunts
DVD04,N/A,HW Pursuit,HW Rescue,10-Jan,2017,Treasure Hunts
DVD03,N/A,Fandango,HW Art Cars,10-Apr,2017,Treasure Hunts
DVD09,N/A,Pedal Driver,HW Ride-Ons,5-May,2017,Treasure Hunts
DVD13,N/A,Blade Raider,HW Digital Circuit,5-Mar,2017,Treasure Hunts
DVD05,N/A,Arrow Dynamic,X-Raycers,10-Aug,2017,Treasure Hunts
DVD08,N/A,24 Ours (2nd Color),HW Glow Wheels,10-May,2017,Treasure Hunts
DVD12,N/A,Hot Wheels Ford Transit Connect (2nd Color),HW City Works,10-Jun,2017,Treasure Hunts
DVC90,N/A,Blast Lane (2nd Color),HW Moto,5-May,2017,Treasure Hunts
DVD06,N/A,Pharodox (2nd Color),Super Chromes,10-Sep,2017,Treasure Hunts
FBH98,N/A,Terrain Storm (3rd Color),HW Snow Stormers,5-Jan,2017,Kroger Exclusives
FBJ00,N/A,Grass Chomper (2nd Color),HW Ride-Ons,5-Mar,2017,Kroger Exclusives
FBJ13,N/A,Lamborghini Veneno (2nd Color),HW Exotics,10-Jun,2017,Kroger Exclusives
FCJ75,N/A,Custom '72 Chevy LUV (2nd Color),HW Flames,10-Oct,2017,Kroger Exclusives
FBH95,N/A,'14 Corvette Stingray (2nd Color),Red Edition,12-Jan,2017,Target Red Editions
FDR60,N/A,'55 Chevy Bel Air Gasser (2nd Color),Red Edition,12-Feb,2017,Target Red Editions
FDR61,N/A,'77 Pontiac Firebird (2nd Color),Red Edition,12-Mar,2017,Target Red Editions
FBH94,N/A,Rescue Duty (2nd Color),Red Edition,12-Apr,2017,Target Red Editions
FDR62,N/A,'64 Lincoln Continental (3rd Color),Red Edition,12-May,2017,Target Red Editions
FDR63,N/A,2005 Corvette C6 (2nd Color),Red Edition,12-Jun,2017,Target Red Editions
FBH81,N/A,Night Shifter (2nd Color),Red Edition,12-Jul,2017,Target Red Editions
FBJ14,N/A,'68 Chevy Nova (2nd Color),Red Edition,12-Aug,2017,Target Red Editions
FDR64,N/A,'15 Dodge Charger SRT (3rd Color),Red Edition,12-Sep,2017,Target Red Editions
FDR65,N/A,'67 Pontiac Firebird 400 (2nd Color),Red Edition,12-Oct,2017,Target Red Editions
FDR66,N/A,'70 Chevy Chevelle (3rd Color),Red Edition,12-Nov,2017,Target Red Editions
FDR67,N/A,Kool Kombi (2nd Color),Red Edition,12-Dec,2017,Target Red Editions
FBH89,N/A,'68 Plymouth Barracuda Formula S (2nd Color),HW Flames,10-Sep,2017,Toys R Us Exclusives
FBH99,N/A,Rip Rod (2nd Color),HW Glow Wheels,10-Oct,2017,Toys R Us Exclusives
FBJ09,N/A,'81 Camaro (2nd Color),Camaro Fifty,5-Apr,2017,Toys R Us Exclusives
FDY58,N/A,1978 Dodge Li'l Red Express Truck (3rd Color),HW Hot Trucks,10-Sep,2017,Toys R Us Exclusives
FBJ03,N/A,'73 BMW 3.0 CSL Race Car (2nd Color),HW Speed Graphics,10-Apr,2017,Walmart Exclusive Zamacs
FBH87,N/A,Ford Focus RS (2nd Color),HW Speed Graphics,10-Aug,2017,Walmart Exclusive Zamacs
FBJ07,N/A,'67 Pontiac GTO (2nd Color),Muscle Mania,10-Aug,2017,Walmart Exclusive Zamacs
FBH83,N/A,Dodge Charger Daytona (3rd Color),Tooned,10-May,2017,Walmart Exclusive Zamacs
FBH86,N/A,Custom '01 Acura Integra GSR (2nd Color),HW Speed Graphics,10-Mar,2017,Walmart Exclusive Zamacs
FBH93,N/A,Zotic (3rd Color),HW Speed Graphics,10-Mar,2017,Walmart Exclusive Zamacs
FBH84,N/A,Volkswagen Beetle (3rd Color),Tooned,10-Jul,2017,Walmart Exclusive Zamacs
FBH88,N/A,Street Creeper (2nd Color),Fright Cars,5-Mar,2017,Walmart Exclusive Zamacs
FBH90,N/A,Dodge Ram 1500 (2nd Color),HW Hot Trucks,10-Jan,2017,Walmart Exclusive Zamacs
FBH85,N/A,Porsche 993 GT2 (2nd Color),Factory Fresh,10-Oct,2017,Walmart Exclusive Zamacs
FBJ16,N/A,'32 Ford (3rd Color),HW Flames,10-Jun,2017,Walmart Exclusive Zamacs
FBJ06,N/A,Ford Shelby GT350R (2nd Color),Muscle Mania,10-Feb,2017,Walmart Exclusive Zamacs
FBJ17,N/A,'68 Dodge Dart (3rd Color),HW Flames,10-Aug,2017,Walmart Exclusive Zamacs
FBJ01,N/A,'71 Datsun Bluebird 510 Wagon (2nd Color),Surf's Up,5-Mar,2017,Walmart Exclusive Zamacs
FBJ08,N/A,D-Muscle (2nd Color),Muscle Mania,10-Oct,2017,Walmart Exclusive Zamacs
FBH97,N/A,Blast Lane (3rd Color),HW Moto,5-May,2017,Walmart Exclusive Zamacs
FTK55,N/A,Custom Ford Bronco (3rd Color),Surf's Up,5-May,2017,Walmart Exclusive Zamacs
FBP05,N/A,'67 Camaro (2nd Color),Camaro Fifty,5-May,2017,Walmart Exclusive Zamacs
